"","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","elev"
"bio19",0.290324467765505,0.149000405926355,0.396492927945442,0.746611584871749,0.724440225185026,0.27745168308569,-0.00436013326095148,0.745549832896324,0.35403236371919,-0.0802154411944605,1,-0.119446087820981,0.409315602737876,-0.621143542871023,0.134773624296646,0.418130905749937,-0.638990598527123,-0.445550390475939,0.470120140470857,0.180363492002902
"bio2",0.477341923191292,0.537367723846982,0.399616804286541,-0.33806204739238,-0.230004737784407,-0.392674116332779,0.291405282783506,-0.239495843123754,-0.395807820898678,-0.412625082758305,-0.119446087820981,1,0.577493295360896,-0.0556479293840819,0.646788922360297,0.348577210958395,0.369641455845642,0.292177741415541,0.395324548808705,0.290710389849379
"bio3",0.775070007940595,0.646534271242333,0.846558662137023,-0.0496284191788127,-0.0178404004357664,-0.320047560247925,0.276341869616837,-0.00891621441384139,-0.276974952647031,-0.662512814189306,0.409315602737876,0.577493295360896,1,-0.813782878750396,0.687866936997124,0.827105023735346,-0.482647183737536,-0.0600010495021559,0.816922725359757,0.225519663553835
"bio4",-0.611007075157261,-0.413036073029203,-0.756897417405285,-0.203095625696226,-0.19190852320651,0.127784727179619,-0.181848620306612,-0.209264782606888,0.0697782588612176,0.52620825792121,-0.621143542871023,-0.0556479293840819,-0.813782878750396,1,-0.398971497094881,-0.767836728360181,0.876717762657773,0.299082664456812,-0.736908190142131,-0.141674068490094
"bio5",0.948953777052187,0.985080821417478,0.875709800388189,-0.333341183504519,-0.206573901510186,-0.571129024532165,0.409367064061535,-0.207567675150208,-0.545499841507522,-0.751134141524115,0.134773624296646,0.646788922360297,0.687866936997124,-0.398971497094881,1,0.857043553224359,-0.0763624030312899,0.367446566197792,0.827475269783415,0.144201259884665
"bio6",0.968001580665764,0.881544973422232,0.996961951346239,-0.112290893949747,-0.0332456887283446,-0.450472526056351,0.358313251072227,-0.0249250141239384,-0.400436157357821,-0.776539387937071,0.418130905749937,0.348577210958395,0.827105023735346,-0.767836728360181,0.857043553224359,1,-0.539533250830211,0.101262968647311,0.942866779010689,0.100860396858325
"bio7",-0.345196693814957,-0.141112356675621,-0.504723133109583,-0.38170813732262,-0.282163332838598,-0.140123572357699,0.0507648980352882,-0.306256297404128,-0.193343965150567,0.25179428941284,-0.638990598527123,0.369641455845642,-0.482647183737536,0.876717762657773,-0.0763624030312899,-0.539533250830211,1,0.377057359602079,-0.486559796107103,-0.0143076250047801
"bio8",0.246814954292986,0.39236750927876,0.113066372550936,-0.378076213581648,-0.31228466425564,-0.245824861582555,0.0969480782025235,-0.326066256225524,-0.300102966096899,-0.0374146275852262,-0.445550390475939,0.292177741415541,-0.0600010495021559,0.299082664456812,0.367446566197792,0.101262968647311,0.377057359602079,1,-0.0516690481708944,-0.123547294482602
"bio9",0.915380568710682,0.831271189517846,0.947970854542532,-0.0966037027417149,-0.0193476537197579,-0.42417424996812,0.348240789789019,-0.0094543231877365,-0.366556962710384,-0.789434181623089,0.470120140470857,0.395324548808705,0.816922725359757,-0.736908190142131,0.827475269783415,0.942866779010689,-0.486559796107103,-0.0516690481708944,1,0.170006165286495
"elev",0.0743345344033831,0.0579943760376327,0.109029876904023,0.120832770465666,0.170307113371869,-0.0221835216345264,0.179840098978652,0.177014446345182,-0.00729883767820709,-0.0307437534108293,0.180363492002902,0.290710389849379,0.225519663553835,-0.141674068490094,0.144201259884665,0.100860396858325,-0.0143076250047801,-0.123547294482602,0.170006165286495,1
