"","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","elev"
"bio19",0.254192820072356,0.121990022098252,0.362564504487891,0.770274749721482,0.875411952287133,0.154580718765638,0.308471873521675,0.879435013620286,0.222873447316959,-0.0667024220350498,1,-0.13390247071785,0.35679714784698,-0.561074970429445,0.103462245621836,0.384171540834895,-0.566148770225094,-0.357616872349637,0.416659463140411,0.188371650833597
"bio2",0.500729382056997,0.569215210524812,0.416057382721672,-0.416440727696369,-0.263688361285596,-0.474192994395881,0.337306767033304,-0.279738649799399,-0.471706377287089,-0.487935555966507,-0.13390247071785,1,0.624042873915791,-0.0599541154289927,0.682480595201129,0.357542988949036,0.359415946543944,0.313364793221568,0.427146904565982,0.135966744069659
"bio3",0.770742287588393,0.65270232198579,0.838031167158356,-0.0820639092703231,0.045886614736882,-0.375566963253456,0.385998194372774,0.0421189469584075,-0.331904770122656,-0.636815993488855,0.35679714784698,0.624042873915791,1,-0.794272486878273,0.693987260507089,0.817405413193073,-0.4882194774398,0.0340413077064952,0.82619967762545,0.158552861423212
"bio4",-0.634333740194219,-0.429288551898773,-0.789234429434818,-0.23266523155948,-0.250979982124249,0.088999845469698,-0.214819890172597,-0.26499585466998,0.0330531964926808,0.438768169809032,-0.561074970429445,-0.0599541154289927,-0.794272486878273,1,-0.404891120978291,-0.806739440903843,0.905285015749498,0.222983556438321,-0.776873077225479,-0.195487164123218
"bio5",0.948863278805679,0.986074027744424,0.871520697092339,-0.361775991521104,-0.17678801066124,-0.567808249924075,0.442984341327929,-0.187249157004424,-0.546997516369416,-0.731405029980278,0.103462245621836,0.682480595201129,0.693987260507089,-0.404891120978291,1,0.848137399984387,-0.0833754734828292,0.493844878201577,0.812598878764338,-0.0138288095297739
"bio6",0.963244250555247,0.875463735813694,0.996476462700617,-0.0857711131916319,0.0361477808741946,-0.389414703562175,0.378416725948509,0.037854525306151,-0.346141873076974,-0.688926878542063,0.384171540834895,0.357542988949036,0.817405413193073,-0.806739440903843,0.848137399984387,1,-0.598627481745754,0.224002203840749,0.936772833584322,0.0408925209627953
"bio7",-0.377200005151005,-0.155829682926165,-0.556650198348883,-0.38557853238088,-0.335249475584117,-0.125904311623238,-0.0420916083334327,-0.354276056785389,-0.175841964930178,0.190084560474671,-0.566148770225094,0.359415946543944,-0.4882194774398,0.905285015749498,-0.0833754734828292,-0.598627481745754,1,0.325372016177117,-0.533456945332977,-0.097833492774851
"bio8",0.392224715967412,0.517397739334513,0.242231138069741,-0.43024786813843,-0.309346908321251,-0.308061894808862,0.107970918713374,-0.326737683466879,-0.353081008538026,-0.127576181987745,-0.357616872349637,0.313364793221568,0.0340413077064952,0.222983556438321,0.493844878201577,0.224002203840749,0.325372016177117,1,0.0145913077492406,-0.227568895247662
"bio9",0.901417844146549,0.817401446841485,0.941519870777935,-0.075971150141975,0.0447212323267955,-0.408656234925396,0.411568467435699,0.0448093658382855,-0.349929979241801,-0.744042245228469,0.416659463140411,0.427146904565982,0.82619967762545,-0.776873077225479,0.812598878764338,0.936772833584322,-0.533456945332977,0.0145913077492406,1,0.106853593957081
"elev",-0.031989957343087,-0.0872329806722582,0.0407350927346993,0.252760081242733,0.202388694241169,0.143780585504593,0.0635910453555449,0.210309194729301,0.165742775480809,0.096284307975046,0.188371650833597,0.135966744069659,0.158552861423212,-0.195487164123218,-0.0138288095297739,0.0408925209627953,-0.097833492774851,-0.227568895247662,0.106853593957081,1
